id,state
AQC00914000,AS
AQC00914005,AS
AQC00914021,AS
AQC00914060,AS
AQC00914135,AS
AQC00914138,AS
AQC00914141,AS
AQC00914145,AS
AQC00914149,AS
AQC00914188,AS
AQC00914248,AS
AQC00914397,AS
AQC00914424,AS
AQC00914594,AS
AQC00914650,AS
AQC00914822,AS
AQC00914869,AS
AQC00914873,AS
AQC00914902,AS
AQC00914912,AS
AQW00061705,AS
BF1BI000001,BH
BF1BI000002,BH
BF1CE000001,BH
BF1CE000005,BH
BF1CE000008,BH
BF1CO000002,BH
BF1CO000003,BH
BF1CO000004,BH
BF1EG000001,BH
BF1EX000001,BH
BF1EX000005,BH
BF1EX000007,BH
BF1EX000009,BH
BF1FP000001,BH
BF1FP000002,BH
BF1FP000003,BH
BF1FP000007,BH
BF1FP000009,BH
BF1HT000001,BH
BF1LI000002,BH
BF1LI000005,BH
BF1LI000006,BH
BF1LI000007,BH
BF1MG000001,BH
BF1NP000001,BH
BF1NP000003,BH
BF1NP000005,BH
BF1NP000006,BH
BF1NP000007,BH
BF1NP000008,BH
BF1NP000009,BH
BF1NP000011,BH
BF1NP000012,BH
BF1NP000013,BH
BF1NP000014,BH
BF1NP000015,BH
BF1NP000016,BH
BF1NP000019,BH
BF1NP000021,BH
BF1NP000023,BH
BF1NS000001,BH
BF1NS000005,BH
BF1SE000001,BH
BF1SS000002,BH
BF1SS000003,BH
BF1SS000005,BH
BF1SS000006,BH
BF1SS000007,BH
BF1SS000011,BH
BF1SS000012,BH
CA001010066,BC
CA001010235,BC
CA001010595,BC
CA001010720,BC
CA001010774,BC
CA001010780,BC
CA001010960,BC
CA001010961,BC
CA001010965,BC
CA001011467,BC
CA0010114F6,BC
CA0010114FF,BC
CA001011500,BC
CA001011743,BC
CA001011745,BC
CA001011775,BC
CA001011810,BC
CA001011860,BC
CA001011920,BC
CA001011922,BC
CA001012008,BC
CA001012010,BC
CA001012018,BC
CA001012040,BC
CA001012046,BC
CA001012052,BC
CA001012055,BC
CA001012190,BC
CA001012475,BC
CA001012550,BC
CA001012562,BC
CA001012566,BC
CA001012570,BC
CA001012573,BC
CA001012628,BC
CA001012655,BC
CA001012656,BC
CA001012700,BC
CA001012707,BC
CA001012710,BC
CA001012883,BC
CA001013045,BC
CA001013051,BC
CA0010130DE,BC
CA0010130MN,BC
CA001013240,BC
CA001013519,BC
CA001013720,BC
CA001014430,BC
CA001014493,BC
CA001014530,BC
CA001014820,BC
CA001014930,BC
CA001014931,BC
CA001015105,BC
CA001015107,BC
CA001015109,BC
CA001015111,BC
CA001015134,BC
CA001015136,BC
CA001015150,BC
CA001015160,BC
CA001015242,BC
CA001015628,BC
CA001015630,BC
CA001015638,BC
CA001016120,BC
CA001016169,BC
CA001016203,BC
CA001016335,BC
CA001016640,BC
CA001016641,BC
CA001016780,BC
CA001016940,BC
CA001016941,BC
CA001016942,BC
CA001016980,BC
CA001016990,BC
CA001016992,BC
CA001016995,BC
CA0010169DK,BC
CA0010169MK,BC
CA001016RM0,BC
CA001017000,BC
CA001017098,BC
CA001017099,BC
CA001017101,BC
CA001017230,BC
CA001017233,BC
CA001017254,BC
CA001017329,BC
CA001017556,BC
CA001017559,BC
CA001017560,BC
CA001017563,BC
CA001017570,BC
CA001017575,BC
CA001017610,BC
CA001018590,BC
CA001018592,BC
CA001018595,BC
CA001018598,BC
CA001018600,BC
CA001018605,BC
CA001018610,BC
CA001018611,BC
CA001018614,BC
CA001018616,BC
CA001018617,BC
CA001018618,BC
CA001018620,BC
CA001018629,BC
CA001018640,BC
CA001018642,BC
CA001018644,BC
CA001018648,BC
CA001018651,BC
CA001018657,BC
CA001018658,BC
CA001018660,BC
CA001018666,BC
CA001018935,BC
CA001018FF6,BC
CA001018FJ5,BC
CA001019010,BC
CA001019014,BC
